10, 10
|20-01-2022 16:17:05.135|DEBUG|utt.bft.client||||||bool SimpleTestClient::run()|L:85|Number of replicas: 10
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing: # Communication configuration
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:57|Ignoring a comment
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing: replicas_config:
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:81|Extracting a key
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:4000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:5000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:6000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7001
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7002
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7003
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7004
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7005
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:7006
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing: 
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:63|Ignoring an empty line
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing: clients_config:
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:81|Extracting a key
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:8000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:9000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10000
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10001
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10002
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10003
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10004
|20-01-2022 16:17:05.135|DEBUG|simpletest.replica.test||||||bool ConfigFileParser::Parse()|L:52|Processing:     - 127.0.0.1:10005
